item_id,item_name,category_id,category,quantity,base_demand_kg,category_elasticity,item_elasticity,elasticity_source,forecast_cost,cost_method,cost_fallback,loss_rate,markup_low,markup_high
102900005115250,西峡花菇(1),1011010801,食用菌,32.369,5.7247023809523805,-0.16704296605486915,-1.984813819691686,item_category_shrinkage,15.6,last,False,0.09449999999999999,0.43989630507777094,0.6738367154318078
102900005115762,苋菜,1011010101,花叶类,62.461,9.733577380952381,0.016649806551605216,-0.8142846176737369,item_category_shrinkage,2.21,last,False,0.1283,0.325972642578158,0.9903336350704774
102900005115779,云南生菜,1011010101,花叶类,11.683,5.662535714285714,0.016649806551605216,-0.23774841221088638,item_category_shrinkage,5.68,last,False,0.1283,0.44508670520231214,0.8518518518518517
102900005115786,竹叶菜,1011010101,花叶类,93.077,16.000041666666664,0.016649806551605216,-1.10999876172443,item_category_shrinkage,2.15,last,False,0.1283,0.3245033112582781,0.9843019898146691
102900005115823,上海青,1011010101,花叶类,27.029,5.812089285714286,0.016649806551605216,0.052684517854387644,item_category_shrinkage,4.09,last,False,0.1283,0.4634146341463418,1.0
102900005115908,菜心,1011010101,花叶类,8.877,3.1557380952380947,0.016649806551605216,-0.670331398570465,item_category_shrinkage,4.62,last,False,0.1283,0.40350877192982443,0.9108280254777069
102900005115946,木耳菜,1011010101,花叶类,41.534,5.736244047619047,0.016649806551605216,0.011496312229991576,item_category_shrinkage,3.1933901487478074,ewma,False,0.1283,0.4051522248243563,1.702702702702702
102900005115984,云南油麦菜,1011010101,花叶类,5.098,6.234005952380952,0.016649806551605216,-0.795027769829281,item_category_shrinkage,2.66,last,False,0.1283,0.4556040756914119,0.9095685860695725
102900005116257,紫茄子(2),1011010501,茄类,76.32,17.756607142857145,0.020348409738604963,-0.17742273598614403,item_category_shrinkage,3.43,last,False,0.0668,0.33936049294089465,0.7889087656529518
102900005116509,青茄子(1),1011010501,茄类,18.727,3.4370357142857144,0.020348409738604963,-0.8909990241042797,item_category_shrinkage,3.98,last,False,0.0668,0.3636363636363635,0.8861738323538508
102900005116714,西兰花,1011010201,花菜类,87.904,15.503613095238094,-0.9010779064683175,-0.6478064863663706,item_category_shrinkage,7.59,last,False,0.1551,0.3167874505600459,0.7001984929949319
102900005116899,净藕(1),1011010402,水生根茎类,42.184,6.551571428571428,-0.3563831797864364,-0.7304880621670102,item_category_shrinkage,10.38,last,False,0.1365,0.27239606876725764,0.7307374231173882
102900005118817,菠菜,1011010101,花叶类,6.82,7.481922619047619,0.016649806551605216,-0.18652405809304773,item_category_shrinkage,9.67,last,False,0.1283,0.34228187919463116,0.8518518518518514
102900005118824,高瓜(1),1011010402,水生根茎类,21.031,3.0460119047619045,-0.3563831797864364,-0.5803200136387775,item_category_shrinkage,11.67,last,False,0.1365,0.4192146105405134,1.1413276231263383
102900005118831,娃娃菜,1011010101,花叶类,73.0,13.208333333333334,0.016649806551605216,-1.1713828130350368,item_category_shrinkage,4.4,last,False,0.1283,0.33446558197747195,0.8153846153846155
102900005119975,红薯尖,1011010101,花叶类,31.546,5.851130952380952,0.016649806551605216,-0.7292559152326993,item_category_shrinkage,2.6,last,False,0.1283,0.41488507626891863,1.0
102900011000328,螺丝椒,1011010504,辣椒类,47.897,9.522125,0.8411931724577582,-0.5274365179129374,item_category_shrinkage,8.97,last,False,0.0924,0.29542332536963084,0.8529973272241315
102900011001691,菱角,1011010402,水生根茎类,12.224,1.4322559523809524,-0.3563831797864364,-0.6117856159402697,item_category_shrinkage,9.16,last,False,0.1365,0.24599525292889216,0.9588666762548541
102900011006948,外地茼蒿,1011010101,花叶类,6.538,3.00525,0.016649806551605216,0.6050423168304717,item_category_shrinkage,9.19,last,False,0.1283,0.4123111258557771,0.9708319973571964
102900011007969,红莲藕带,1011010402,水生根茎类,4.596,1.0500238095238095,-0.3563831797864364,-0.2508011515658333,item_category_shrinkage,5.29,last,False,0.1365,0.3714357364805824,0.9512213693957117
102900011008164,奶白菜,1011010101,花叶类,44.959,12.023744047619047,0.016649806551605216,0.031204241375997272,item_category_shrinkage,2.56,last,False,0.1283,0.4285714285714289,1.0
102900011013274,白玉菇(袋),1011010801,食用菌,4.0,1.7202380952380951,-0.16704296605486915,0.5366390742035585,item_category_shrinkage,3.29,last,False,0.09449999999999999,0.3924050632911393,1.0
