单品编码_A,单品名称_A,分类名称_A,单品编码_B,单品名称_B,分类名称_B,共同有销售记录日数,Pearson相关,Spearman相关,最大绝对相关,Pearson_Spearman绝对差,Pearson_Spearman同号
102900005116257,紫茄子(2),茄类,102900011033234,红薯尖(份),花叶类,35,-0.562714,-0.605691,0.605691,0.042977,True
102900005115854,萝卜叶,花叶类,102900011032787,竹叶菜(份),花叶类,30,-0.517468,-0.482225,0.517468,0.035242,True
102900005115762,苋菜,花叶类,102900011033234,红薯尖(份),花叶类,33,-0.491215,-0.441729,0.491215,0.049486,True
102900005115786,竹叶菜,花叶类,102900011030912,海鲜菇(份),食用菌,48,-0.487251,-0.450451,0.487251,0.036801,True
102900011023464,小青菜(1),花叶类,102900011032787,竹叶菜(份),花叶类,43,-0.455636,0.071863,0.455636,0.527499,False
102900011008164,奶白菜,花叶类,102900011032787,竹叶菜(份),花叶类,49,-0.454183,-0.305764,0.454183,0.148418,True
102900005115250,西峡花菇(1),食用菌,102900005116530,西峡香菇(1),食用菌,59,-0.450687,-0.652601,0.652601,0.201913,True
102900005115960,大白菜,花叶类,102900011008522,甜白菜,花叶类,248,-0.449919,-0.598781,0.598781,0.148861,True
102900005115748,白菜苔,花叶类,102900005115960,大白菜,花叶类,51,-0.445381,-0.445430,0.445430,0.000049,True
102900005119975,红薯尖,花叶类,102900011033906,保康高山大白菜,花叶类,49,-0.442813,-0.408265,0.442813,0.034547,True
102900005119975,红薯尖,花叶类,102900005122654,枝江红菜苔,花叶类,37,-0.430450,-0.309388,0.430450,0.121062,True
102900011030103,茼蒿(份),花叶类,106949711300167,金针菇(袋)(2),食用菌,56,-0.426907,-0.461669,0.461669,0.034761,True
102900005115250,西峡花菇(1),食用菌,102900005116639,马齿苋,花叶类,54,-0.404180,-0.448951,0.448951,0.044771,True
102900005116837,平菇,食用菌,102900011008522,甜白菜,花叶类,118,-0.401172,-0.521704,0.521704,0.120532,True
102900005115779,云南生菜,花叶类,102900011030059,云南生菜(份),花叶类,135,-0.398977,-0.406885,0.406885,0.007908,True
102900011023464,小青菜(1),花叶类,102900011032176,紫苏(份),花叶类,33,-0.396559,-0.343119,0.396559,0.053441,True
102900005115908,菜心,花叶类,102900011032213,红杭椒(份),辣椒类,43,-0.395482,-0.430803,0.430803,0.035321,True
102900005115786,竹叶菜,花叶类,106949711300068,金针菇(袋)(3),食用菌,190,-0.395313,-0.512162,0.512162,0.116849,True
102900005119975,红薯尖,花叶类,106958851400125,海鲜菇(袋)(4),食用菌,205,-0.385921,-0.407753,0.407753,0.021831,True
102900011009444,大龙茄子,茄类,102900011011546,海鲜菇(袋)(1),食用菌,96,-0.383300,-0.575410,0.575410,0.192111,True

