单品编码_A,单品名称_A,分类名称_A,单品编码_B,单品名称_B,分类名称_B,共同有销售记录日数,Pearson相关,Spearman相关,最大绝对相关,Pearson_Spearman绝对差,Pearson_Spearman同号
102900011016701,芜湖青椒(1),辣椒类,102900011018095,虫草花(袋),食用菌,31,0.876393,0.644194,0.876393,0.232199,True
102900005115250,西峡花菇(1),食用菌,102900005116233,红椒(1),辣椒类,164,0.874760,0.445408,0.874760,0.429352,True
102900005116943,红杭椒,辣椒类,106930274220092,蟹味菇(袋),食用菌,95,0.860738,0.407276,0.860738,0.453462,True
102900005115250,西峡花菇(1),食用菌,102900005125808,小米椒,辣椒类,65,0.859163,0.588593,0.859163,0.270570,True
102900005115250,西峡花菇(1),食用菌,102900005116547,金针菇(1),食用菌,59,0.844946,0.441262,0.844946,0.403684,True
102900005115250,西峡花菇(1),食用菌,102900011018095,虫草花(袋),食用菌,52,0.844059,0.463387,0.844059,0.380672,True
102900005116233,红椒(1),辣椒类,106930274220092,蟹味菇(袋),食用菌,99,0.843200,0.223067,0.843200,0.620132,True
102900005115250,西峡花菇(1),食用菌,102900005116943,红杭椒,辣椒类,65,0.837502,0.422868,0.837502,0.414634,True
102900005115250,西峡花菇(1),食用菌,106930274220092,蟹味菇(袋),食用菌,39,0.832838,0.425684,0.832838,0.407154,True
102900005115250,西峡花菇(1),食用菌,102900005117209,七彩椒(1),辣椒类,30,0.830698,-0.170653,0.830698,1.001351,False
102900005125808,小米椒,辣椒类,106930274220092,蟹味菇(袋),食用菌,95,0.826882,0.338215,0.826882,0.488667,True
102900005115250,西峡花菇(1),食用菌,102900011009970,青梗散花,花菜类,63,0.826725,0.455195,0.826725,0.371530,True
102900005116233,红椒(1),辣椒类,102900011033944,杏鲍菇(2),食用菌,32,0.820016,0.465176,0.820016,0.354840,True
102900011000571,随州泡泡青,花叶类,102900011030110,菠菜(份),花叶类,33,0.815726,0.302753,0.815726,0.512973,True
102900005117209,七彩椒(1),辣椒类,106949711300259,金针菇(盒),食用菌,36,0.813935,0.194786,0.813935,0.619149,True
102900005116233,红椒(1),辣椒类,102900005125808,小米椒,辣椒类,570,0.807235,0.339066,0.807235,0.468169,True
102900005116233,红椒(1),辣椒类,102900011021842,洪湖莲藕(粉藕),水生根茎类,188,0.805605,0.366311,0.805605,0.439295,True
102900011016701,芜湖青椒(1),辣椒类,106930274220092,蟹味菇(袋),食用菌,65,0.802947,0.340310,0.802947,0.462637,True
102900011012994,杏鲍菇(袋),食用菌,102900011021842,洪湖莲藕(粉藕),水生根茎类,124,0.802472,0.424431,0.802472,0.378041,True
102900005115250,西峡花菇(1),食用菌,102900011001219,红灯笼椒(1),辣椒类,36,0.799924,0.048649,0.799924,0.751276,True

