日期,分类编码,分类名称,销量,销售额,交易笔数,在售单品数,打折销量占比,平均零售单价(元/千克),加权平均成本(元/千克),成本加成率,品类平均损耗率(%)
2020-07-01,1011010101,花叶类,205.402,1503.7896,445,16,0.06662544668503716,7.321202325196444,4.828037458252598,0.516393024806024,12.83
2020-07-01,1011010201,花菜类,47.076,598.634,102,2,0.0,12.716331039170703,8.408451865069251,0.5123272682332198,15.51
2020-07-01,1011010402,水生根茎类,4.85,70.2838,15,2,0.0,14.491505154639176,9.234160824742268,0.5693364486148251,13.65
2020-07-01,1011010501,茄类,35.374,176.81799999999998,60,2,0.0,4.998529993780742,4.091376434669531,0.22172331820268787,6.68
2020-07-01,1011010504,辣椒类,76.715,759.9902,259,9,0.0,9.9066701427361,5.319110343479111,0.8624674998293735,9.24
2020-07-01,1011010801,食用菌,35.364999999999995,368.602,120,5,0.005513926198218578,10.422790894952637,6.5019485366888174,0.6030257446886143,9.45
2020-07-02,1011010101,花叶类,198.362,1409.6647,423,16,0.09760942115929462,7.106525947510108,4.162575241225638,0.7072426408363603,12.83
2020-07-02,1011010201,花菜类,43.943,546.032,95,2,0.0,12.4259153903921,7.835918803905059,0.5857636738399585,15.51
2020-07-02,1011010402,水生根茎类,4.6,53.1208,14,2,0.0,11.548000000000002,7.093747826086957,0.6279123931545356,13.65
2020-07-02,1011010501,茄类,32.199,172.09199999999998,56,2,0.0,5.344638032237026,2.472960650951893,1.1612305194503465,6.68
2020-07-02,1011010504,辣椒类,66.06400000000001,669.7044,226,10,0.0,10.137206345362072,5.704405273674013,0.7770838253981636,9.24
2020-07-02,1011010801,食用菌,48.510000000000005,605.929,160,5,0.0,12.490806019377446,7.312903937332508,0.7080500614279444,9.45
2020-07-03,1011010101,花叶类,191.779,1406.4065,405,16,0.0356243384312151,7.333474989440972,4.389518977573144,0.6706785018834724,12.83
2020-07-03,1011010201,花菜类,42.076,495.368,96,2,0.0,11.773172354786576,7.426066165985359,0.5853847907675358,15.51
2020-07-03,1011010402,水生根茎类,9.572000000000001,76.693,30,1,0.5392812369410781,8.012223150856665,5.61,0.42820377020617895,13.65
2020-07-03,1011010501,茄类,35.896,196.243,57,2,0.0,5.466987965232895,3.964099621127702,0.3791247667175561,6.68
2020-07-03,1011010504,辣椒类,64.253,670.6646,227,10,0.0,10.43787216161113,6.253733677804927,0.6690624672195578,9.24
2020-07-03,1011010801,食用菌,42.442,546.2950000000001,149,5,0.0,12.871565901701146,7.357773667593422,0.7493832350936085,9.45
2020-07-04,1011010101,花叶类,236.587,1841.4,526,13,0.008512724705922136,7.783183353269623,4.807090372674746,0.6191048534290253,12.83
2020-07-04,1011010201,花菜类,55.662,702.1859999999999,126,2,0.0,12.615177320254391,8.217534763393338,0.5351535081361913,15.51
2020-07-04,1011010402,水生根茎类,5.439,118.75319999999999,16,2,0.0,21.833645890788745,14.01511858797573,0.5578637992775117,13.65
2020-07-04,1011010501,茄类,57.067,327.403,99,2,0.0,5.7371685913049575,3.114950146319239,0.8418171469242441,6.68
2020-07-04,1011010504,辣椒类,81.282,826.4166,293,10,0.00546246401417288,10.167276887871854,5.714687261632342,0.7791484332193666,9.24
2020-07-04,1011010801,食用菌,47.262,578.7036,171,5,0.009267487622191189,12.244585502094708,7.335156785578267,0.6693011288005355,9.45
2020-07-05,1011010101,花叶类,223.899,1573.1793,508,13,0.01899517193020067,7.026289978963729,4.273393271073118,0.6441945623224408,12.83
2020-07-05,1011010201,花菜类,55.474000000000004,697.982,106,2,0.0,12.582146591195874,8.397157587338214,0.4983816202482685,15.51
2020-07-05,1011010402,水生根茎类,4.019,40.19,12,1,0.0,10.0,5.42,0.845018450184502,13.65
2020-07-05,1011010501,茄类,61.816,411.3631,111,3,0.014138734308269703,6.654637957810275,4.021894978646305,0.6546026172095876,6.68
2020-07-05,1011010504,辣椒类,98.496,1016.2366,352,10,0.004721003898635478,10.317541829109812,6.041138015756985,0.7078805023488561,9.24
2020-07-05,1011010801,食用菌,73.213,732.6238000000001,207,5,0.0,10.006744703809435,5.88550380396924,0.7002358739553936,9.45
2020-07-06,1011010101,花叶类,195.74,1511.5968,419,14,0.06284356799836517,7.722472667824666,4.8642002145703485,0.587614063395782,12.83
2020-07-06,1011010201,花菜类,42.721000000000004,506.3038,86,2,0.010393015144776573,11.851403291121462,7.819140937712131,0.5156912230551463,15.51
2020-07-06,1011010402,水生根茎类,3.089,30.7757,11,1,0.12334088701845258,9.962997733894465,5.449999999999999,0.8280729786962324,13.65
2020-07-06,1011010501,茄类,30.727000000000004,201.412,57,3,0.0,6.554886581833566,3.3203700328701142,0.9741433987607546,6.68
2020-07-06,1011010504,辣椒类,58.682,645.2908,223,10,0.0,10.996400940663236,6.224900310146212,0.7665184007428627,9.24
2020-07-06,1011010801,食用菌,40.578,487.60300000000007,137,6,0.024643895707033365,12.016437478436591,7.178352555571984,0.6739826283830523,9.45
2020-07-07,1011010101,花叶类,175.052,1348.709,379,15,0.08669995201425862,7.704619198866623,4.79319522199118,0.6074077608017778,12.83
2020-07-07,1011010201,花菜类,45.749,526.991,97,2,0.0,11.519180747120155,7.314270475857396,0.5748912738655387,15.51
2020-07-07,1011010402,水生根茎类,3.117,31.17,11,1,0.0,10.0,5.460000000000001,0.8315018315018312,13.65
2020-07-07,1011010501,茄类,32.112,186.848,56,2,0.0,5.818634778276034,3.2775784753363224,0.7752846566637785,6.68
2020-07-07,1011010504,辣椒类,42.213,531.0704000000001,191,10,0.0,12.580731054414517,6.812150522350934,0.8468075555783219,9.24
2020-07-07,1011010801,食用菌,52.56,622.3339,175,7,0.02741628614916286,11.84044710806697,6.964861111111111,0.7000263062213528,9.45
2020-07-08,1011010101,花叶类,158.57,1251.845,331,16,0.095957621239831,7.894589140442707,4.843609699186479,0.6298978717811765,12.83
2020-07-08,1011010201,花菜类,45.43300000000001,532.102,95,2,0.0,11.71179539101534,7.34181167873572,0.5952187148761274,15.51
2020-07-08,1011010402,水生根茎类,10.605,155.484,26,2,0.0,14.661386138613862,8.21244884488449,0.7852636181406958,13.65
2020-07-08,1011010501,茄类,39.67,232.2832,64,2,0.014519788253087975,5.855386942273758,3.5347244769347115,0.6565327737655833,6.68
2020-07-08,1011010504,辣椒类,65.88,768.061,242,10,0.04017911353976929,11.658485124468733,6.454160595021251,0.806351879973688,9.24
2020-07-08,1011010801,食用菌,43.967999999999996,565.4192,153,5,0.0,12.859788937409027,7.607784297671034,0.6903461552328429,9.45
2020-07-09,1011010101,花叶类,187.439,1395.7574,391,15,0.0015364998746258782,7.446462048986604,4.544924695500937,0.6384126356060256,12.83
2020-07-09,1011010201,花菜类,41.131,496.204,89,2,0.0,12.063990663976076,7.550888867277722,0.5976914607042068,15.51
2020-07-09,1011010402,水生根茎类,2.106,21.060000000000002,7,1,0.0,10.000000000000002,5.47,0.828153564899452,13.65
2020-07-09,1011010501,茄类,25.921,205.52,48,3,0.0,7.928706454226304,3.898585316924501,1.033739372024585,6.68
2020-07-09,1011010504,辣椒类,58.86,615.355,219,10,0.0,10.454553177030242,5.690378015630309,0.8372335103772919,9.24
2020-07-09,1011010801,食用菌,37.836999999999996,464.1238,133,5,0.0,12.266400613156437,7.209311520469383,0.7014663020634455,9.45
2020-07-10,1011010101,花叶类,179.833,1305.5266,383,16,0.13828941295535302,7.259660907619847,4.470994033353167,0.6237241323659808,12.83
2020-07-10,1011010201,花菜类,62.343999999999994,659.9567999999999,136,2,0.08303926600795586,10.585730784036956,6.545884768381882,0.6171581319561954,15.51
2020-07-10,1011010402,水生根茎类,9.025,128.7304,28,2,0.02703601108033241,14.26375623268698,7.98426592797784,0.7864831108273889,13.65
2020-07-10,1011010501,茄类,37.86,268.3507,62,3,0.097675647120972,7.087974115161121,4.636425250924458,0.528758414415901,6.68
2020-07-10,1011010504,辣椒类,58.936,714.7903,243,8,0.038516356725940004,12.128245893850957,6.610760825302023,0.8346217953357675,9.24
2020-07-10,1011010801,食用菌,41.429,470.8101,135,6,0.10618166018972217,11.364264162784522,6.769435902387216,0.6787608785507455,9.45
2020-07-11,1011010101,花叶类,271.12,2106.3287,571,15,0.1187997934493951,7.76899048391856,4.794547801711419,0.6203802329690844,12.83
2020-07-11,1011010201,花菜类,76.564,784.2707,139,2,0.0938822423070895,10.24333498772269,6.282039731466487,0.6305746900030309,15.51
2020-07-11,1011010402,水生根茎类,8.928,132.1233,23,2,0.1704749103942652,14.798756720430106,8.411317204301074,0.7593863554287139,13.65
2020-07-11,1011010501,茄类,68.277,405.20640000000003,116,2,0.11649603819734317,5.93474229974955,3.7996306223179106,0.5619261158941666,6.68
2020-07-11,1011010504,辣椒类,85.936,1060.3598,306,9,0.09871299571774343,12.338947588903368,7.074474609011356,0.7441503815967065,9.24
2020-07-11,1011010801,食用菌,52.238,700.3148,184,5,0.07046594433171255,13.406233010452162,7.928451318963208,0.6909018509563449,9.45
2020-07-12,1011010101,花叶类,300.189,2195.9922,653,15,0.0960528200566976,7.315365319848495,4.488165722261641,0.6299231740850679,12.83
2020-07-12,1011010201,花菜类,71.615,777.0745000000001,148,2,0.10627661802694967,10.85072261397752,6.32656705997347,0.7151043387538238,15.51
2020-07-12,1011010402,水生根茎类,13.994,247.9604,36,3,0.09782764041732171,17.719051021866512,11.493803773045592,0.5416176725950295,13.65
